"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Kalikiri","Tomato","Local","25/01/2022","700","1800","1200"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","25/01/2022","700","1500","1000"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","25/01/2022","640","1400","1040"
"Andhra Pradesh","East Godavari","Ravulapelem","Banana","Amruthapani","25/01/2022","1000","1500","1300"
"Andhra Pradesh","East Godavari","Ravulapelem","Banana","Bhushavali(Pacha)","25/01/2022","800","1200","1000"
"Andhra Pradesh","East Godavari","Ravulapelem","Banana","Chakkarakeli(Red)","25/01/2022","900","1300","1100"
"Andhra Pradesh","East Godavari","Ravulapelem","Banana","Chakkarakeli(White)","25/01/2022","950","1350","1150"
"Andhra Pradesh","East Godavari","Ravulapelem","Banana","Karpura","25/01/2022","800","1200","1000"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","25/01/2022","2410","2510","2460"
"Andhra Pradesh","Kurnool","Atmakur","Maize","Hybrid/Local","25/01/2022","1850","1850","1850"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)(Common)","Sona Mahsuri","25/01/2022","1800","1800","1800"
"Andhra Pradesh","Kurnool","Pattikonda","Bengal Gram(Gram)(Whole)","Jawari/Local","25/01/2022","4500","5000","4800"
"Andhra Pradesh","Kurnool","Pattikonda","Onion","Local","25/01/2022","2000","4000","3000"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","25/01/2022","1000","1500","1200"
"Andhra Pradesh","West Godavari","Eluru","Lime","Lime","25/01/2022","1700","2500","2200"
"Andhra Pradesh","West Godavari","Gopalavaram","Lemon","Lemon","25/01/2022","1700","2100","1900"
"Bihar","Gopalgang","Gopalganj","Cabbage","Cabbage","25/01/2022","2200","2600","2400"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Bottle gourd","Other","25/01/2022","1500","2500","2000"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Cucumbar(Kheera)","Other","25/01/2022","1000","2500","1750"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Ginger(Green)","Other","25/01/2022","1800","2500","2150"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Green Chilli","Other","25/01/2022","2000","2500","2250"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Lemon","Other","25/01/2022","2000","2500","2250"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Mousambi(Sweet Lime)","Other","25/01/2022","1500","3000","2250"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Onion","Other","25/01/2022","2000","2600","2300"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Peas Wet","Other","25/01/2022","2300","2500","2400"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Pomegranate","Other","25/01/2022","4000","8000","6000"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Potato","Other","25/01/2022","300","600","450"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Pumpkin","Other","25/01/2022","1500","2000","1750"
"Chandigarh","Chandigarh","Chandigarh(Grain/Fruit)","Tomato","Other","25/01/2022","400","1600","1000"
"Chattisgarh","Bijapur","Bharamgarh","Mahua Seed(Hippe seed)","Other","25/01/2022","1800","2000","1900"
"Chattisgarh","Bijapur","Bhopalpattnam","Mahua Seed(Hippe seed)","Other","25/01/2022","1800","2000","1900"
"Chattisgarh","Bijapur","Bijapur","Mahua Seed(Hippe seed)","Other","25/01/2022","1800","2000","1900"
"Chattisgarh","Bilaspur","Takhatpur","Paddy(Dhan)(Common)","Paddy Coarse","25/01/2022","1940","1940","1940"
"Chattisgarh","Bilaspur","Takhatpur","Paddy(Dhan)(Common)","Paddy fine","25/01/2022","1960","1960","1960"
"Chattisgarh","Dantewada","Gidam","Paddy(Dhan)(Common)","Paddy Medium","25/01/2022","1300","1500","1400"
"Chattisgarh","Durg","Durg","Apple","Apple","25/01/2022","8000","10000","9000"
"Chattisgarh","Durg","Durg","Banana - Green","Banana - Green","25/01/2022","800","1000","900"
