Year,Item,Type of Vessels-Dry Cargo* Liner,Type of Vessels-Dry Cargo Bulk Carrier$,Type of Vessels-Oil Tanker@,Type of Vessels-Passenger-cum-Cargo**,Type of Vessels-Off-shore Supply,Type of Vessels-Specialised for Off-shore Services ***,Type of Vessels-Timber Carrier,Total
1980,No. of Vessels,38,NA,10,10,NA,NA,NA,58
1980,GRT,128,NA,98,28,NA,NA,NA,254
1980,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1981,No. of Vessels,39,NA,16,10,NA,NA,NA,65
1981,GRT,119,NA,153,28,NA,NA,NA,300
1981,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1982,No. of Vessels,39,NA,18,11,NA,NA,NA,68
1982,GRT,120,NA,188,30,NA,NA,NA,338
1982,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1983,No. of Vessels,41,NA,18,13,NA,NA,NA,72
1983,GRT,113,NA,188,36,NA,NA,NA,337
1983,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1984,No. of Vessels,41,NA,18,13,24,NA,NA,96
1984,GRT,104,NA,188,36,27,NA,NA,355
1984,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1985,No. of Vessels,24,NA,18,12,41,NA,NA,95
1985,GRT,20,NA,191,35,50,NA,NA,296
1985,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1986,No. of Vessels,27,NA,18,13,58,NA,NA,116
1986,GRT,78,NA,191,44,69,NA,NA,382
1986,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1987,No. of Vessels,31,NA,18,13,65,NA,NA,127
1987,GRT,108,NA,191,44,95,NA,NA,438
1987,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1988,No. of Vessels,35,NA,16,14,73,NA,NA,138
1988,GRT,110,NA,174,39,120,NA,NA,443
1988,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1989,No. of Vessels,35,NA,15,14,87,NA,NA,151
1989,GRT,110,NA,171,39,157,NA,NA,477
1989,DWT,NA,NA,NA,NA,NA,NA,NA,NA
1990,No. of Vessels,32,6,15,14,63,31,1,162
1990,GRT,25,121,171,39,68,95,4,523
1990,DWT,45,189,268,20,76,71,6,675
1991,No. of Vessels,32,10,18,13,63,32,1,169
1991,GRT,25,127,193,49,68,95,4,561
1991,DWT,46,198,300,23,76,71,6,720
1992,No. of Vessels,38,20,16,12,67,33,1,187
1992,GRT,29,235,154,59,74,85,4,640
1992,DWT,52,384,235,26,85,62,6,850
1993,No. of Vessels,44,23,16,12,73,33,1,202
1993,GRT,32,217,154,59,91,85,4,642
1993,DWT,54,352,235,26,92,62,6,827
1994,No. of Vessels,61,13,17,13,74,27,1,206
1994,GRT,46,247,150,60,91,83,4,681
1994,DWT,66,410,234,26,92,63,6,897
1995,No. of Vessels,72,13,18,15,73,27,1,219
1995,GRT,60,247,155,60,89,83,4,698
1995,DWT,80,410,245,26,90,63,6,920
1996,No. of Vessels,88,12,17,15,71,27,1,231
1996,GRT,101,226,152,53,86,83,4,705
1996,DWT,72,369,240,23,87,63,6,860
1997,No. of Vessels,97,11,14,15,68,26,1,232
1997,GRT,107,192,138,52,83,78,4,654
1997,DWT,80,305,219,23,82,58,6,773
1998,No. of Vessels,109,12,15,15,69,26,1,247
1998,GRT,118,198,132,53,73,76,4,654
1998,DWT,89,313,213,23,81,57,6,782
1999,No. of Vessels,124,12,16,22,68,27,NA,269
1999,GRT,129,194,139,68,73,77,NA,680
1999,DWT,89,306,221,28,81,57,NA,782
2000,No. of Vessels,164,12,16,23,69,28,NA,312
2000,GRT,158,194,132,68,74,83,NA,709
2000,DWT,128,306,172,28,85,61,NA,780
2001,No. of Vessels,178,13,16,26,69,27,NA,229
2001,GRT,184,205,118,71,74,79,NA,731
2001,DWT,150,323,179,28,85,59,NA,824
2002,No. of Vessels,261,9,17,33,73,31,NA,424
2002,GRT,236,226,100,76,78,89,NA,805
2002,DWT,195,350,150,26,96,53,NA,870
2003,No. of Vessels,263,9,17,36,73,31,NA,429
2003,GRT,236,226,100,77,78,89,NA,806
2003,DWT,195,351,149,25,96,53,NA,869
2004,No. of Vessels,282,9,16,37,78,32,NA,454
2004,GRT,238,226,96,77,81,90,NA,808
2004,DWT,187,350,144,25,98,54,NA,858
2005,No. of Vessels,305,10,14,38,82,36,NA,485
2005,GRT,248,234,85,77,85,87,NA,816
2005,DWT,182.99,362.677,122.721,24.739,99.686,51.565,NA,844.378
2006,No. of Vessels,332,10,15,46,87,36,NA,526
2006,GRT,272,234,87,79,87,82,NA,841
2006,DWT,203,363,131,26,102,47,NA,872
2007,No. of Vessels,359,11,17,57,94,35,NA,573
2007,GRT,303,234,88,92,95,81,NA,893
2007,DWT,258,363,134,28,111,47,NA,941
2008,No. of Vessels,385,11,17,69,99,35,NA,616
2008,GRT,331,234,114,98,101,86,NA,964
2008,DWT,285,363,155,29,122,47,NA,1001
2009,No. of Vessels,409,12,18,81,104,38,NA,662
2009,GRT,350,236,99,99,108,88,NA,980
2009,DWT,293,365,132,29,125,50,NA,994
2010,No. of Vessels,434,12,18,88,110,38,NA,700
2010,GRT,364,237,99,106,119,88,NA,1013
2010,DWT,294,365,132,29,134,51,NA,1005
2011,No. of Vessels,476,15,19,89,113,38,NA,750
2011,GRT,386,242,100,109,123,88,NA,1048
2011,DWT,313,368,132,29,134,51,NA,1027
2012,No. of Vessels,518,26,19,92,111,38,NA,804
2012,GRT,426,240,100,112,121,88,NA,1087
2012,DWT,364,368,132,29,120,51,NA,1064
2013,No. of Vessels,545,31,18,94,105,42,NA,835
2013,GRT,500,248,75,107,114,91,NA,1135
