State,Total,Urban,Rural,Population
Andhra,1.7,1.5,1.8,52375124
Andman & Nicobar,1.3,1.4,1.2,414057
Arunachal Pradesh,1.8,1.4,1.9,1506749
Assam,1.9,1.5,1.9,34068394
Bihar,3,2.4,3.1,117153097
Chandigarh,1.4,1.4,1.4,1110820
Chhattisgarh,1.8,1.4,1.9,28125421
D&D,1.8,1.7,1.9,216981
Delhi (NCT),1.6,1.6,2.5,18110349
Goa,1.3,1.3,1.4,1521000
Gujarat,1.9,1.7,2,63000000
Haryana,1.9,1.7,2,27443256
HP,1.7,1.4,1.7,7246418
J&K,1.4,1.2,1.5,13477325
Jharkhand,2.3,1.6,2.5,36672687
Karnataka,1.7,1.5,1.8,65426566
Kerala,1.8,1.8,1.8,35043531
Lakshadweep,1.4,1.4,1.6,70214
Madhya Pradesh,2,1.6,2.1,80894777
Maharashtra,1.7,1.5,1.9,119581739
Manipur,2.2,1.8,2.4,2966130
Meghalaya,2.9,1.6,3.3,3230132
Mizoram,1.9,1.6,2.2,1188971
Nagaland,1.7,1.2,2,2158431
Odisha,1.8,1.5,1.9,44912901
Puducherry,1.5,1.6,1.2,1356199
Punjab,1.6,1.6,1.7,29344896
Rajasthan,2,1.7,2.1,76802294
Sikkim,1.1,0.7,1.3,662250
Tamil Nadu,1.8,1.6,1.9,75844451
Telangana,1.8,1.8,1.7,38042884
Tripura,1.7,1.4,1.8,4000638
Uttar Pradesh,2.4,1.9,2.5,224558257
Uttarakhand,1.9,1.8,1.9,10956753
West Bengal,1.6,1.4,1.7,96775592
