Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,27773,28380,28820,29218,29570,29875,30135,30253,30232,30166,30063,29927,29953,30229,30595,30972,31245,31416,31584,31749,31909,32121,32389,32659,32886,33008,33007,32904,32788,32892,33480,34657,35941,37137,38437,39724,41014,42336,43688,45050,46269,47178,47831,48374,48877,49414,50016,50636,51272,51919,52484,52980,53480,53953,54403,54828,55224,55591,55935,56254,56373,56330
Africa Eastern and Southern,AFE,"Population, female",SP.POP.TOTL.FE.IN,65853220,67606287,69457112,71375643,73386167,75478396,77610073,79810945,82111287,84493601,86968714,89504801,92051419,94694181,97478670,100339888,103289004,106237590,109415983,112834021,116060576,119525759,123410049,127333314,131344567,135563206,139816011,144066893,148288335,152522362,156942214,161298074,165609524,170167926,174762745,179486372,184468529,189280003,194009070,198959676,204048614,209257664,214635664,220167814,225898442,231830259,237997868,244435307,251105628,257956460,265000967,272174714,279546577,287224786,295088995,303195759,311387262,319637226,328158974,336930831,345889729,354855082
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,4145945,4233771,4326881,4424511,4526691,4634341,4745981,4861918,4983086,5108507,5239568,5372747,5509781,5655304,5803603,5948268,6083166,6214979,6342838,6373547,6136856,5490160,4973968,4916351,5074600,5225679,5207273,5152650,5188060,5334609,5346409,5372208,6028939,7000119,7722096,8199445,8537421,8871958,9217591,9595036,9727541,9793166,10438055,11247647,11690825,12109086,12614497,12835340,13088192,13557331,13949295,14468875,15067373,15594637,16172321,16682054,17115346,17614722,18136922,18679089,19279930,19844584
Africa Western and Central,AFW,"Population, female",SP.POP.TOTL.FE.IN,48802898,49850088,50928609,52044907,53196730,54389295,55621877,56890201,58204276,59560501,60963620,62404746,63900687,65482730,67160750,68943269,70786681,72718234,74770813,76909670,79104037,81359426,83714354,85996392,88238093,90605997,93047700,95556172,98139171,100824162,103478502,106184462,109071980,111968903,114896750,117979287,121143186,124399328,127775360,131211380,134795501,138546839,142408066,146370538,150463219,154696476,159035017,163481052,168058833,172782717,177645233,182657978,187755307,192900081,198163527,203513873,208980433,214578994,220253839,226004857,231877590,237813580
Angola,AGO,"Population, female",SP.POP.TOTL.FE.IN,2670229,2704394,2742689,2779473,2812590,2838939,2856740,2867926,2879001,2902120,2953347,3032948,3132441,3244749,3362438,3483416,3606782,3735823,3872130,4014347,4164145,4321167,4485276,4656894,4834820,5018620,5206761,5396035,5588733,5787505,5991207,6199060,6408303,6621767,6845622,7077381,7315200,7561436,7813123,8071413,8339311,8619083,8912191,9219638,9545020,9886765,10244381,10620174,11013001,11422969,11853530,12303450,12770743,13252938,13746371,14248799,14764575,15293335,15828040,16370553,16910989,17452283
Albania,ALB,"Population, female",SP.POP.TOTL.FE.IN,785048,809475,834000,858244,882448,906153,929381,953152,979606,1007337,1032302,1056583,1082296,1107246,1132155,1157882,1183327,1209570,1234924,1259974,1286555,1313483,1342885,1373470,1404928,1436842,1468045,1501223,1533846,1580227,1613977,1609526,1605160,1600776,1596176,1591252,1585863,1580008,1573432,1565927,1557540,1543533,1538490,1531532,1523393,1513578,1501918,1488396,1474838,1462978,1454108,1449024,1445914,1442931,1439863,1435812,1433925,1433238,1430495,1425364,1418585,1407212
Andorra,AND,"Population, female",SP.POP.TOTL.FE.IN,4670,5030,5402,5783,6175,6577,7026,7563,8156,8767,9398,10056,10735,11437,12165,12908,13662,14424,15173,15893,16559,17183,17956,18869,19744,20569,21442,22397,23347,24278,25179,26084,27014,27944,28875,29806,30454,30814,31159,31492,31812,32669,34076,35478,36852,38147,38392,37633,36864,36065,35212,34895,35127,35324,35473,35557,35913,36456,36943,37502,38084,38673
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,46358744,47540379,48764029,50043646,51368473,52737354,54185739,55728410,57326616,58969758,60651249,62373757,64155917,66017363,67969905,70090289,72523283,74974985,77227925,79722205,82422849,84997215,87622400,90401171,93211468,95993840,98848304,101715558,104392868,107062417,110398337,112726580,115445954,118509050,121684655,124677213,127631536,130581344,133562644,136592746,139693402,142819968,145976600,149164104,152436957,155947843,159680641,163600694,167655506,171762308,175811692,179579911,183397801,187581860,191779023,195750959,199698235,203801793,208132727,212559954,216611530,220449451
United Arab Emirates,ARE,"Population, female",SP.POP.TOTL.FE.IN,52349,54860,57544,60340,63204,66146,69190,72333,77950,87026,97538,108830,120822,133446,146625,160209,179623,206141,235341,266807,299721,332047,363825,396438,429484,462356,495183,528332,561673,595156,628689,662159,695410,728293,760604,792350,832990,883126,934014,985583,1037745,1090383,1143337,1196457,1249569,1325578,1470867,1691536,1943966,2174433,2306780,2364604,2420594,2475122,2528177,2579445,2628601,2675811,2721838,2767844,2811921,2853108
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,10158262,10335069,10513699,10694826,10876693,11058981,11243003,11429390,11617792,11808657,12005045,12208669,12419477,12639130,12869638,13096382,13315154,13538001,13764006,13991784,14220750,14453114,14688513,14924486,15159735,15392805,15626548,15862727,16100939,16338719,16574141,16807594,17039077,17269492,17499129,17725502,17946204,18160104,18370060,18580528,18790028,18996369,19201347,19398462,19591796,19791355,19992747,20190731,20387718,20588982,20633966,20865767,21099001,21332490,21562981,21791541,22019065,22244116,22467488,22689693,22911069,23130548
