Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,97.1255722,100.1457672,99.71988678,88.14015961,88.32685089,88.51010132,91.85463715,97.82330322,98.03665161,94.00798798,97.84075928,,,101.2552338,101.5558701,,,,,,,
Africa Eastern and Southern,AFE,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,36.46403122,37.44631958,38.35509872,39.13909149,40.70576859,42.24456024,44.89403915,45.88679123,47.51556015,48.61233139,49.77347946,53.13301849,50.09730148,50.00989914,49.12266159,47.86082077,46.27318954,47.28343964,48.22206879,47.26551819,48.52025986,47.26548004,47.42086029,47.78853989,47.83948135,47.06687164,47.40932083,47.02439117,48.73138046,50.15100861,51.56513977,52.7652092,54.99047089,57.88222885,59.58750153,63.31682968,67.13964081,67.16766357,65.51125336,65.88574982,66.02806854,66.26329041,66.11501312,66.93244934,68.16779327,69.49909973,69.99054718,70.82537842,
Afghanistan,AFG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,4.361800194,,,5.508160114,6.357999802,,9.052940369,12.83759975,,,10.74617004,10.85997009,,,,,,,,14.12040043,,,,,,,,,,,,,,,,,,,,,,,63.60406876,66.68888092,67.12930298,65.76151276,,
Africa Western and Central,AFW,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,45.45550156,45.4854393,45.26382828,45.92087173,46.4749794,47.02478027,47.98152161,48.04710007,48.36402893,48.81225967,49.09143829,49.24539948,49.47665024,49.4785614,49.76869965,49.95785904,50.0374794,49.96244049,50.11774063,50.20819855,50.64197922,50.68917847,50.64783859,50.49055862,51.17757034,51.17047119,51.64308929,52.02592087,52.80725861,53.63055038,54.1967392,54.97248077,55.41508102,57.56259155,60.09870911,57.75378036,56.30987167,59.03982162,60.39973831,62.04386139,64.04483032,64.06369019,64.65110016,65.82205963,66.60809326,66.36228943,66.7228775,66.92736053,67.23168945,
Angola,AGO,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.63103867,34.35042953,33.91703033,33.54656982,,,,,,,,,,
Albania,ALB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.22415924,,,,97.50543213,97.24936676,,95.33894348,94.21140289,,,97.45506287,92.8181076,91.45610046,88.61092377,94.35333252,99.58724213,88.68978882,103.7311478,100.3887177,102.2976532,103.6332321,104.6567688,104.5204315,103.3794937,99.44663239
Andorra,AND,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,36.9991684,36.90457916,36.70346069,38.04315186,39.51625061,41.83683014,43.5166893,45.28356934,44.23672104,41.57291031,45.60063171,48.84112167,50.27495956,51.84529114,54.27344131,58.09186172,57.87202072,58.28367996,59.10163879,59.5338707,61.11725998,61.61246872,62.64025879,63.13975143,64.27770996,65.65236664,67.02319336,68.19075775,69.52004242,70.78449249,70.65801239,71.85585022,73.1842804,75.5047226,77.52603912,78.25202942,76.99775696,78.81742096,80.15232849,79.32711792,80.79251862,82.02822113,84.19004822,82.63716888,83.4752121,82.72142792,82.11003876,82.73635101,83.68026733,84.79515076,85.55593109,
United Arab Emirates,ARE,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,33.17290115,41.29671097,45.37953949,53.36914063,56.59498978,62.90753174,67.54074097,71.16493988,78.10710144,78.79328156,77.71395874,72.79081726,77.28397369,78.42006683,75.67989349,81.59207916,89.10691071,95.52060699,94.81906891,93.04724884,92.44745636,90.29075623,86.45726013,88.54811859,86.53864288,85.82492828,82.17166901,78.60256958,79.75221252,,,,,98.63421631,,,,,94.19589233,97.33055115,100.7958221,104.4197769,,,,112.5617981,104.6186066,
Argentina,ARG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,74.23158264,74.70929718,,,,81.21250153,81.03469849,,,,,,,,,,,,,,,,,,,,94.32850647,93.2516098,100.6073074,97.51628113,97.47155762,97.09464264,100.8492889,98.35381317,96.72995758,94.81124115,97.14913177,99.95810699,103.0978088,103.1102982,103.1453171,103.6578522,102.9941177,101.175209,102.5903931,102.4773331,104.3348923,99.69320679,98.43654633,98.17658234,101.5823822,
Armenia,ARM,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.08287811,89.72151184,99.18153381,93.23461914,94.9655304,103.4857712,106.8225632,,96.4732666,95.53209686,95.65740967,,96.51783752,95.76216125,91.6685791,92.53565979,89.51941681,92.99519348,94.09165955,92.57003784
